original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date,catalogue_year,flagged
"Abbott (Edwin A.)-Miscellanea Evangelica. II, Christ's miracles of feeding. 8vo. 33. net CAMB, UNIV. PR., Aug. 15",1,9,,Abbott (Edwin A.),"Miscellanea Evangelica. II, Christ's miracles of feeding.",8vo.,33. net,"CAMB, UNIV. PR.",Aug. 15,1915,False
"Abbott (Edwin A.)—The Fourfold Gospel. Sect. 3, The Proclamation of the New Kingdom. Demy 8vo., pp. 572, 125. 6d. net CAMB. UNIV. PR., Mar. 15",1,9,,Abbott (Edwin A.),"The Fourfold Gospel. Sect. 3, The Proclamation of the New Kingdom.",Demy 8vo.,"pp. 572, 125. 6d. net",CAMB. UNIV. PR.,Mar. 15,1915,False
"Abbott (Lyman)--How shall we think of our dead ? 18mo., pp. 24, swd. 6d. net MELROSE, Oct. 15",1,9,,Abbott (Lyman),How shall we think of our dead ?,18mo.,"pp. 24, swd. 6d. net",MELROSE,Oct. 15,1915,False
"Abbott (Maude) ed.-Descriptive catalogue of the Medical Museum of McGill University arranged on a modified Decimal system of museum classification. Pt. 4, sec. 1, The Hæmopoietic organs. Catalogue and didactic intro., by 0. C. Gruner. Ryl. 8vo. 98 x 6], pp. 204, ios. 6d. net (Clarendon Pr.) MILFORD, July 15",1,9,,Abbott (Maude) ed.,"Descriptive catalogue of the Medical Museum of McGill University arranged on a modified Decimal system of museum classification. Pt. 4, sec. 1, The Hæmopoietic organs. Catalogue and didactic intro., by 0. C. Gruner.",Ryl. 8vo.,"98 x 6], pp. 204, ios. 6d. net (Clarendon Pr.)",MILFORD,July 15,1915,False
"Abbott (P.)- Exercises in arithmetic and mensu- ration. Re-issue. Sect. I and 2. Cr. 8vo. ea. 2s. LONGMANS, Apr. 15",1,9,,Abbott (P.),Exercises in arithmetic and mensu- ration. Re-issue. Sect. I and 2.,Cr. 8vo.,ea. 2s.,LONGMANS,Apr. 15,1915,False
"Abbott (P.)-Exercises in arithmetic and men- suration. Cr. 8vo., 38. 6d. w. answ. 45. 60. LONGMANS, Jan. 15",1,9,,Abbott (P.),Exercises in arithmetic and men- suration.,Cr. 8vo.,38. 6d. w. answ. 45. 60.,LONGMANS,Jan. 15,1915,False
"Abbott (w.)-Commercial theory and practice. Cr. 8vo. 7*5, pp. 360, 3s. 6d. MURRAY, Oct. 15",1,9,,Abbott (w.),Commercial theory and practice.,Cr. 8vo.,"7*5, pp. 360, 3s. 6d.",MURRAY,Oct. 15,1915,False
"ABC of Jolly Jack. 4to. bds. Is. net GALE & P., Oct. 15",1,9,,,ABC of Jolly Jack.,4to.,bds. Is. net,GALE & P.,Oct. 15,1915,False
"ABC of our soldiers. 4to., bds. is. net GALE & P., Nov. 15",1,9,,,ABC of our soldiers.,"4to.,",bds. is. net,GALE & P.,Nov. 15,1915,False
"Abdul Baha.-Talks by A. B., given in Paris, 2nd edit., with additions. Cr. 8vo. 71 x 5, pp. 174, 28. 6d. net ....BELL, Apr. 15",1,9,,Abdul Baha.,"Talks by A. B., given in Paris, 2nd edit., with additions.",Cr. 8vo.,"71 x 5, pp. 174, 28. 6d. net ....",BELL,Apr. 15,1915,False
"Abel (George) -Wylins fae my wallet. Foreword by Prof. Stalker. With glossary. 8vo. 84 x 61, pp. 150, 28. 6d. net .....GARDNER, Dec. 15",1,9,,Abel (George),Wylins fae my wallet. Foreword by Prof. Stalker. With glossary.,8vo.,"84 x 61, pp. 150, 28. 6d. net .....",GARDNER,Dec. 15,1915,False
"Aberdeen (Univ. of)-Annual report on the state of finances. 5d. ... WYMAN, June 15",1,9,,,Aberdeen (Univ. of)-Annual report on the state of finances.,,5d. ...,WYMAN,June 15,1915,False
"Aberdeen University-Annual statistical report, 1913-14. Ifd. . WYMAN, Mar. 15",1,9,,,"Aberdeen University-Annual statistical report, 1913-14.",,Ifd. .,WYMAN,Mar. 15,1915,False
"Academy Architecture and Architectural Review. Vols. 46 and 47. Ryl. 8vo., ea. 45. rod. net, swd. 43. net ...OFFICE, Feb., etc. 15",1,9,,,Academy Architecture and Architectural Review. Vols. 46 and 47.,Ryl. 8vo.,"ea. 45. rod. net, swd. 43. net ...",OFFICE,"Feb., etc. 15",1915,False
"Accounts (Public)-Committee of : 1st and 2nd Reports with Proceedings, Minutes of evidence, and Appendices. Is. Id. ....WYMAN, Aug. 15",1,9,,,"Accounts (Public)-Committee of : 1st and 2nd Reports with Proceedings, Minutes of evidence, and Appendices.",,Is. Id. ....,WYMAN,Aug. 15,1915,False
"Accounts (Public)-Committee of : First report. fd. WYMAN, Feb. 15",1,9,,,Accounts (Public)-Committee of : First report.,,fd.,WYMAN,Feb. 15,1915,False
"Accounts (Public)-Committee of: Index and digest of evidence. 3d. .. WYMAN, Oct. 15",1,9,,,Accounts (Public)-Committee of: Index and digest of evidence.,,3d. ..,WYMAN,Oct. 15,1915,False
"Accounts (Public)-Second report from the Committee on. id. . WYMAN, June 15",1,9,,,Accounts (Public)-Second report from the Committee on.,,id. .,WYMAN,June 15,1915,False
"Achievement of France (The). Repr. fr. The Times."" 18mo. is. net swd. METHUEN, July 15",2,10,,,"Achievement of France (The). Repr. fr. The Times.""",18mo.,is. net swd.,METHUEN,July 15,1915,False
"Acorn (George)—The Driving force. Cr. 8vo. 7} x 41, pp. 320, 6s. .LONG, July 15",2,10,,Acorn (George),The Driving force.,Cr. 8vo.,"7} x 41, pp. 320, 6s. .",LONG,July 15,1915,False
"Active service pocket dictionary and letter wallet. 8vo. IS. net ..GALE & P., Apr. 15",2,10,,,Active service pocket dictionary and letter wallet.,8vo.,IS. net ..,GALE & P.,Apr. 15,1915,False
